0	0	0	0	0	0
256	0	0	225	1	0
512	0	0	445	2	0
768	0	0	659	3	0
1024	0	0	869	4	0
1280	0	0	1082	5	0
1536	0	0	1297	5	0
1792	0	0	1499	7	0
2048	0	0	1709	7	0
2303	0	0	1918	8	0
2559	0	0	2145	10	0
2815	0	0	2361	10	0
3071	0	0	2566	11	0
3327	0	0	2775	11	0
3583	0	0	2985	12	0
3839	0	0	3191	13	0
4095	0	0	3404	14	0
0	256	0	25	250	1
256	256	0	248	252	1
512	256	0	469	254	1
768	256	0	685	255	1
1024	256	0	895	257	1
1280	256	0	1107	256	1
1536	256	0	1320	257	1
1792	256	0	1525	257	1
2048	256	0	1736	258	1
2303	256	0	1947	259	1
2559	256	0	2179	261	1
2815	256	0	2390	262	1
3071	256	0	2595	261	1
3327	256	0	2803	261	0
3583	256	0	3012	261	0
3839	256	0	3222	261	0
4095	256	0	3440	263	0
0	512	0	50	499	3
256	512	0	274	500	3
512	512	0	495	500	3
768	512	0	708	501	3
1024	512	0	916	500	2
1280	512	0	1132	501	2
1536	512	0	1346	501	2
1792	512	0	1553	502	2
2048	512	0	1765	503	2
2303	512	0	1973	502	2
2559	512	0	2203	504	2
2815	512	0	2407	503	2
3071	512	0	2618	503	2
3327	512	0	2829	503	2
3583	512	0	3036	502	2
3839	512	0	3251	503	2
4095	512	0	3459	502	2
0	768	0	76	749	4
256	768	0	299	751	4
512	768	0	521	751	4
768	768	0	734	751	4
1024	768	0	941	751	4
1280	768	0	1160	752	4
1536	768	0	1369	750	4
1792	768	0	1574	748	4
2048	768	0	1786	749	4
2303	768	0	2002	752	3
2559	768	0	2231	751	3
2815	768	0	2433	751	3
3071	768	0	2642	749	3
3327	768	0	2852	749	3
3583	768	0	3066	751	3
3839	768	0	3282	751	3
4095	768	0	3493	751	3
0	1024	0	101	996	5
256	1024	0	324	996	5
512	1024	0	545	995	5
768	1024	0	757	996	5
1024	1024	0	968	999	5
1280	1024	0	1186	997	5
1536	1024	0	1394	995	5
1792	1024	0	1602	994	5
2048	1024	0	1813	995	5
2303	1024	0	2027	995	5
2559	1024	0	2255	995	5
2815	1024	0	2463	998	5
3071	1024	0	2674	996	5
3327	1024	0	2881	994	5
3583	1024	0	3092	993	5
3839	1024	0	3307	993	4
4095	1024	0	3521	993	4
0	1280	0	126	1249	7
256	1280	0	349	1249	7
512	1280	0	570	1249	8
768	1280	0	782	1249	7
1024	1280	0	990	1248	7
1280	1280	0	1213	1249	7
1536	1280	0	1419	1245	6
1792	1280	0	1626	1244	6
2048	1280	0	1836	1244	6
2303	1280	0	2054	1245	6
2559	1280	0	2282	1246	6
2815	1280	0	2485	1247	6
3071	1280	0	2698	1244	6
3327	1280	0	2909	1244	6
3583	1280	0	3119	1242	6
3839	1280	0	3333	1241	6
4095	1280	0	3546	1241	6
0	1536	0	152	1493	8
256	1536	0	375	1493	8
512	1536	0	594	1493	8
768	1536	0	807	1492	8
1024	1536	0	1018	1495	8
1280	1536	0	1239	1490	8
1536	1536	0	1445	1489	8
1792	1536	0	1654	1488	8
2048	1536	0	1867	1489	8
2303	1536	0	2087	1489	8
2559	1536	0	2310	1490	8
2815	1536	0	2516	1491	7
3071	1536	0	2730	1488	7
3327	1536	0	2942	1488	7
3583	1536	0	3151	1485	7
3839	1536	0	3368	1485	7
4095	1536	0	3580	1485	7
0	1792	0	178	1742	11
256	1792	0	401	1741	11
512	1792	0	620	1739	9
768	1792	0	832	1738	9
1024	1792	0	1044	1738	9
1280	1792	0	1268	1737	9
1536	1792	0	1472	1735	9
1792	1792	0	1684	1736	9
2048	1792	0	1898	1736	9
2303	1792	0	2119	1736	9
2559	1792	0	2338	1735	9
2815	1792	0	2544	1735	9
3071	1792	0	2762	1734	9
3327	1792	0	2966	1728	9
3583	1792	0	3182	1729	9
3839	1792	0	3402	1731	9
4095	1792	0	3614	1730	8
0	2048	0	204	1989	12
256	2048	0	428	1986	12
512	2048	0	647	1985	12
768	2048	0	858	1983	12
1024	2048	0	1072	1983	12
1280	2048	0	1294	1982	11
1536	2048	0	1501	1982	11
1792	2048	0	1714	1980	10
2048	2048	0	1928	1980	10
2303	2048	0	2151	1980	10
2559	2048	0	2368	1979	10
2815	2048	0	2577	1979	10
3071	2048	0	2792	1977	10
3327	2048	0	2996	1971	10
3583	2048	0	3217	1973	10
3839	2048	0	3431	1972	10
4095	2048	0	3643	1972	10
0	2303	0	229	2243	13
256	2303	0	453	2243	13
512	2303	0	672	2244	13
768	2303	0	884	2245	13
1024	2303	0	1099	2241	13
1280	2303	0	1318	2236	13
1536	2303	0	1523	2235	13
1792	2303	0	1738	2236	12
2048	2303	0	1951	2235	12
2303	2303	0	2180	2237	13
2559	2303	0	2396	2239	13
2815	2303	0	2605	2236	12
3071	2303	0	2818	2233	11
3327	2303	0	3029	2230	12
3583	2303	0	3242	2224	12
3839	2303	0	3465	2228	12
4095	2303	0	3678	2229	12
0	2559	0	256	2503	15
256	2559	0	481	2501	15
512	2559	0	699	2499	15
768	2559	0	910	2497	14
1024	2559	0	1127	2495	14
1280	2559	0	1345	2491	14
1536	2559	0	1551	2485	14
1792	2559	0	1764	2485	14
2048	2559	0	1978	2483	14
2303	2559	0	2210	2486	14
2559	2559	0	2423	2487	14
2815	2559	0	2634	2484	13
3071	2559	0	2848	2480	13
3327	2559	0	3062	2480	13
3583	2559	0	3273	2474	13
3839	2559	0	3496	2478	13
4095	2559	0	3709	2478	13
0	2815	0	282	2748	16
256	2815	0	507	2746	16
512	2815	0	724	2743	16
768	2815	0	936	2745	16
1024	2815	0	1155	2742	16
1280	2815	0	1370	2736	16
1536	2815	0	1580	2734	16
1792	2815	0	1793	2733	16
2048	2815	0	2008	2733	16
2303	2815	0	2244	2736	15
2559	2815	0	2454	2737	15
2815	2815	0	2669	2734	15
3071	2815	0	2883	2731	15
3327	2815	0	3095	2729	15
3583	2815	0	3313	2728	14
3839	2815	0	3531	2728	14
4095	2815	0	3738	2723	14
0	3071	0	308	2997	17
256	3071	0	533	2992	17
512	3071	0	749	2989	17
768	3071	0	961	2993	17
1024	3071	0	1181	2987	17
1280	3071	0	1396	2983	17
1536	3071	0	1606	2981	17
1792	3071	0	1820	2980	17
2048	3071	0	2040	2984	17
2303	3071	0	2273	2984	17
2559	3071	0	2479	2983	17
2815	3071	0	2697	2981	17
3071	3071	0	2913	2980	17
3327	3071	0	3126	2977	17
3583	3071	0	3340	2973	16
3839	3071	0	3558	2972	16
4095	3071	0	3769	2971	16
0	3327	0	334	3246	19
256	3327	0	559	3243	19
512	3327	0	774	3240	19
768	3327	0	985	3240	19
1024	3327	0	1209	3236	19
1280	3327	0	1422	3233	18
1536	3327	0	1634	3231	18
1792	3327	0	1849	3231	18
2048	3327	0	2070	3234	18
