0	0	0	0	0	0
256	0	0	248	0	0
512	0	0	491	0	0
768	0	0	740	0	0
1024	0	0	988	0	0
1280	0	0	1228	0	0
1536	0	0	1485	0	0
1792	0	0	1734	0	0
2048	0	0	1982	0	0
2303	0	0	2237	0	0
2559	0	0	2494	0	0
2815	0	0	2742	0	0
3071	0	0	2991	0	0
3327	0	0	3262	0	0
3583	0	0	3488	0	0
3839	0	0	3736	0	0
4095	0	0	3973	0	0
0	256	0	0	246	0
256	256	0	237	237	0
512	256	0	465	232	0
768	256	0	696	228	0
1024	256	0	934	224	0
1280	256	0	1148	222	0
1536	256	0	1398	220	0
1792	256	0	1623	218	0
2048	256	0	1844	216	0
2303	256	0	2091	215	0
2559	256	0	2323	213	0
2815	256	0	2562	211	0
3071	256	0	2774	209	0
3327	256	0	3028	210	0
3583	256	0	3236	211	0
3839	256	0	3470	211	0
4095	256	0	3669	213	0
0	512	0	0	491	0
256	512	0	231	467	0
512	512	0	461	466	0
768	512	0	694	459	0
1024	512	0	932	451	0
1280	512	0	1152	445	0
1536	512	0	1394	439	0
1792	512	0	1621	435	0
2048	512	0	1847	434	0
2303	512	0	2087	433	0
2559	512	0	2326	428	0
2815	512	0	2558	423	0
3071	512	0	2779	422	0
3327	512	0	3037	422	0
3583	512	0	3241	426	0
3839	512	0	3466	427	0
4095	512	0	3675	429	0
0	768	0	0	739	0
256	768	0	225	698	0
512	768	0	453	698	0
768	768	0	694	694	0
1024	768	0	926	683	0
1280	768	0	1144	676	0
1536	768	0	1387	669	0
1792	768	0	1617	666	0
2048	768	0	1841	666	0
2303	768	0	2078	662	0
2559	768	0	2318	657	0
2815	768	0	2554	652	0
3071	768	0	2768	648	0
3327	768	0	3011	648	0
3583	768	0	3228	650	0
3839	768	0	3438	652	0
4095	768	0	3658	655	0
0	1024	0	0	985	0
256	1024	0	223	932	0
512	1024	0	447	932	0
768	1024	0	684	926	0
1024	1024	0	921	923	0
1280	1024	0	1138	911	0
1536	1024	0	1386	905	0
1792	1024	0	1612	899	0
2048	1024	0	1833	900	0
2303	1024	0	2068	899	0
2559	1024	0	2309	887	0
2815	1024	0	2544	882	0
3071	1024	0	2761	877	0
3327	1024	0	3011	882	0
3583	1024	0	3230	885	0
3839	1024	0	3439	885	0
4095	1024	0	3649	891	0
0	1280	0	0	1226	0
256	1280	0	218	1150	0
512	1280	0	441	1148	0
768	1280	0	676	1140	0
1024	1280	0	910	1133	0
1280	1280	0	1135	1136	0
1536	1280	0	1378	1124	0
1792	1280	0	1603	1116	0
2048	1280	0	1828	1116	0
2303	1280	0	2064	1111	0
2559	1280	0	2306	1102	0
2815	1280	0	2541	1097	0
3071	1280	0	2756	1090	0
3327	1280	0	3003	1096	0
3583	1280	0	3224	1099	0
3839	1280	0	3434	1100	0
4095	1280	0	3645	1103	0
0	1536	0	0	1481	0
256	1536	0	217	1393	0
512	1536	0	436	1387	0
768	1536	0	670	1379	0
1024	1536	0	905	1376	0
1280	1536	0	1123	1374	0
1536	1536	0	1375	1371	0
1792	1536	0	1607	1362	0
2048	1536	0	1828	1365	0
2303	1536	0	2069	1364	0
2559	1536	0	2313	1355	0
2815	1536	0	2538	1348	0
3071	1536	0	2755	1340	0
3327	1536	0	3010	1346	0
3583	1536	0	3224	1345	0
3839	1536	0	3432	1351	0
4095	1536	0	3653	1359	0
0	1792	0	0	1729	0
256	1792	0	216	1621	0
512	1792	0	433	1614	0
768	1792	0	669	1610	0
1024	1792	0	900	1603	0
1280	1792	0	1119	1602	0
1536	1792	0	1375	1597	0
1792	1792	0	1612	1605	0
2048	1792	0	1836	1604	0
2303	1792	0	2075	1597	0
2559	1792	0	2316	1588	0
2815	1792	0	2544	1581	0
3071	1792	0	2776	1580	0
3327	1792	0	3000	1577	0
