0	0	0	0	0	0
256	0	0	221	1	0
512	0	0	438	1	0
768	0	0	658	2	0
1024	0	0	878	2	0
1280	0	0	1096	3	0
1536	0	0	1315	3	0
1792	0	0	1541	3	0
2048	0	0	1762	3	0
2303	0	0	1982	4	0
2559	0	0	2209	4	0
2815	0	0	2437	5	0
3071	0	0	2659	5	0
3327	0	0	2879	6	0
3583	0	0	3109	6	0
3839	0	0	3335	7	0
4095	0	0	3540	7	0
0	256	0	16	244	2
256	256	0	227	237	2
512	256	0	431	233	2
768	256	0	635	230	2
1024	256	0	845	227	2
1280	256	0	1045	225	2
1536	256	0	1250	223	2
1792	256	0	1465	222	2
2048	256	0	1665	220	2
2303	256	0	1861	220	2
2559	256	0	2082	218	1
2815	256	0	2290	217	1
3071	256	0	2501	215	1
3327	256	0	2698	215	1
3583	256	0	2906	214	1
3839	256	0	3116	216	1
4095	256	0	3307	217	1
0	512	0	31	486	4
256	512	0	237	467	4
512	512	0	442	466	4
768	512	0	649	461	4
1024	512	0	859	454	4
1280	512	0	1061	449	4
1536	512	0	1267	444	4
1792	512	0	1478	440	4
2048	512	0	1680	437	4
2303	512	0	1881	436	4
2559	512	0	2095	436	4
2815	512	0	2308	433	3
3071	512	0	2515	428	3
3327	512	0	2715	427	3
3583	512	0	2931	427	3
3839	512	0	3137	429	3
4095	512	0	3326	431	3
0	768	0	46	727	6
256	768	0	247	697	6
512	768	0	450	697	6
768	768	0	664	694	6
1024	768	0	872	686	6
1280	768	0	1069	679	6
1536	768	0	1277	673	5
1792	768	0	1488	669	5
2048	768	0	1691	668	5
2303	768	0	1891	667	5
2559	768	0	2104	664	5
2815	768	0	2317	660	5
3071	768	0	2527	656	5
3327	768	0	2722	653	4
3583	768	0	2929	653	4
3839	768	0	3132	654	4
4095	768	0	3322	656	4
0	1024	0	60	968	8
256	1024	0	259	932	8
512	1024	0	460	931	8
768	1024	0	671	927	7
1024	1024	0	881	924	7
1280	1024	0	1078	916	7
1536	1024	0	1290	908	7
1792	1024	0	1500	904	7
2048	1024	0	1700	901	7
2303	1024	0	1899	902	7
2559	1024	0	2110	900	7
2815	1024	0	2324	889	7
3071	1024	0	2533	885	7
3327	1024	0	2728	881	7
3583	1024	0	2942	884	6
3839	1024	0	3146	887	6
4095	1024	0	3337	889	6
0	1280	0	74	1197	9
256	1280	0	269	1148	9
512	1280	0	469	1145	9
768	1280	0	679	1139	9
1024	1280	0	887	1134	9
1280	1280	0	1088	1135	9
1536	1280	0	1301	1128	9
1792	1280	0	1507	1120	9
2048	1280	0	1707	1117	9
2303	1280	0	1910	1116	9
2559	1280	0	2121	1111	9
2815	1280	0	2337	1103	8
3071	1280	0	2545	1099	8
3327	1280	0	2737	1093	8
3583	1280	0	2952	1097	8
3839	1280	0	3155	1100	8
4095	1280	0	3345	1103	7
0	1536	0	88	1441	12
256	1536	0	282	1388	11
512	1536	0	480	1384	11
768	1536	0	689	1377	11
1024	1536	0	898	1375	11
1280	1536	0	1093	1373	11
1536	1536	0	1312	1371	11
1792	1536	0	1523	1365	10
2048	1536	0	1724	1364	10
2303	1536	0	1928	1365	10
2559	1536	0	2142	1362	10
2815	1536	0	2357	1354	10
3071	1536	0	2557	1348	10
3327	1536	0	2750	1341	10
3583	1536	0	2974	1347	10
3839	1536	0	3171	1347	9
4095	1536	0	3358	1350	10
